valtable_id,definition,description,vss_type,vss_labels
REQCALLINDEX,0:NONE;1:1ST_INDEX;2:2ND_INDEX;3:3RD_INDEX;4:4TH_INDEX;5:5TH_INDEX;6:6TH_INDEX;7:7TH_INDEX;8:8TH_INDEX;9:9TH_INDEX;10:10TH_INDEX,Value table for REQCALLINDEX,enum,1ST_INDEX|2ND_INDEX|3RD_INDEX|4TH_INDEX|5TH_INDEX|6TH_INDEX|7TH_INDEX|8TH_INDEX|9TH_INDEX|10TH_INDEX
DT02GPTYPE,0:S_T_7INCH_GP;1:S_T_8INCH_GP,Value table for DT02GPTYPE,enum,S_T_7INCH_GP|S_T_8INCH_GP
GSPNIDENTIFIER,0:SPN;1:GSPN,Value table for GSPNIDENTIFIER,enum,SPN|GSPN
PDLCALB,0:CALIBRATION_READY_CMD;1:MAX_RELEASE_CAL_CMD;2:MAX_PUSHED_CAL_CMD,Value table for PDLCALB,enum,CALIBRATION_READY_CMD|MAX_RELEASE_CAL_CMD|MAX_PUSHED_CAL_CMD
JOYSTICK,0:SMOOTH;1:NORMAL;2:FAST;3:ND,Value table for JOYSTICK,enum,SMOOTH|NORMAL|FAST
NOINREQ,0:START;1:COMPLETE,Value table for NOINREQ,enum,START|COMPLETE
DOORLCKST,0:NONE;1:LOCK;2:UNLOCK;3:NA,Value table for DOORLCKST,enum,LOCK|UNLOCK
NONEONOFF,0:NONE;1:ON;2:OFF;3:FAILED,Value table for NONEONOFF,enum,ON|OFF|FAILED
FOBRGSTFDBK,0:NONE;1:NOT_DETECTION;2:DETECTION_COMPLETED;3:NA,Value table for FOBRGSTFDBK,enum,NOT_DETECTION|DETECTION_COMPLETED
BLINKING,0:OFF;1:ON_NO_BLINKING;2:ON_NORMAL_BLINKING;3:ON_SLOW_BLINKING,Value table for BLINKING,enum,OFF|ON_NO_BLINKING|ON_NORMAL_BLINKING|ON_SLOW_BLINKING
KEYSTCHANGE,0:KEY_OFF;1:ACC;2:KEY_ON;3:CRANK_RUN,Value table for KEYSTCHANGE,enum,KEY_OFF|ACC|KEY_ON|CRANK_RUN
DETECT,0:NO_DETECT;1:DETECT,Value table for DETECT,enum,NO_DETECT|DETECT
OPENCLOSE,0:OPEN;1:CLOSE,Value table for OPENCLOSE,enum,OPEN|CLOSE
RMRUNNINGST,0:NORMAL_STATUS;1:REMOTE_RUNNING_STATUS,Value table for RMRUNNINGST,enum,NORMAL_STATUS|REMOTE_RUNNING_STATUS
