NAME,DESC,VALUE
OPT,OPTION_DISABLED,0
OPT,OPTION_EABLED,1
DISENABLE,DISABLE,0
DISENABLE,ENABLE,1
TOLERANCECORCMD,BEFORE_TOLERANCE_CORRECTION,0
TOLERANCECORCMD,TOLERANCE_CORRECTING,1
TOLERANCECORCMD,TOLERANCE_CORRECTION_COMPLETED,2
TOLERANCECORCMD,TOLERANCE_CORRECTION_FAIL,3
TOLERANCECORMENUENTRYCMD,NO_TOLERANCE_CORRECTION_MENU,0
TOLERANCECORMENUENTRYCMD,ENTER_TOLERANCE_CORRECTION,1
CAMPRMTCORCOMPLETEST,NOT_CORRECTED,0
CAMPRMTCORCOMPLETEST,CORRECTION_COMPLETED,1
PWRMDST,STANDARD_MODE,0
PWRMDST,ECONOMY_MODE,1
PWRMDST,POWER_PLUS_MODE,2
PWRMDST,POWER_MODE,3
WRKMDST,DIG,0
WRKMDST,LIFT,1
WRKMDST,BREAKER,2
WRKMDST,TRVMODECR,3
LOCKST,UNLOCK_,0
LOCKST,LOCK,1
TRACTIONMDST,MAX,0
TRACTIONMDST,A_3,1
TRACTIONMDST,B_2,2
TRACTIONMDST,C_1,3
TRACTIONMDST,AUTO,4
KEYPADPRI,KEYPAD,0
KEYPADPRI,VIRTUAL_KEPAD,1
EVMDCMD,NORMAL_MODE,0
EVMDCMD,EV_MODE,1
EVMDCMD,NOT_AVAILABLE,2
EVMDCMD,NOT_AVAILABLE1,3
ATTTYPE,BREAKER,0
ATTTYPE,TWO_WAY,1
ALARMST,ALARM_OFF,0
ALARMST,ALARM__1,1
ALARMST,ALARM__2,2
ALARMST,ALARM__3,3
ALARMST,ALARM__4,4
ALARMST,ALARM__5,5
MGSOUNDGUDSTEP,ALARM_OFF,0
MGSOUNDGUDSTEP,ALARM__1,1
MGSOUNDGUDSTEP,ALARM__2,2
MGSOUNDGUDSTEP,ALARM__3,3
MGSOUNDGUDSTEP,ALARM__4,4
MGSOUNDGUDSTEP,ALARM__5,5
MGSOUNDGUDSTEP,ALARM__6,6
MGSOUNDGUDSTEP,ALARM__7,7
MGSOUNDGUDSTEP,ALARM__8,8
MGSOUNDGUDSTEP,ALARM__9,9
OPTSETJOYPATTERNCHANGE,ISO_FOR_CTL_EXC,0
OPTSETJOYPATTERNCHANGE,BHL_FOR_CTL_BACKHOE,1
OPTSETJOYPATTERNCHANGE,MHI,2
OPTSETJOYPATTERNCHANGE,KOBE,3
OPTSETJOYPATTERNCHANGE,SCM,4
OPTSETJOYPATTERNCHANGE,CTL_ISO,5
OPTSETJOYPATTERNCHANGE,CTL_H,6
AUDIOAUXSEL,OFF,0
AUDIOAUXSEL,ON,1
AUDIOAUXSEL,ERROR,2
AUDIOAUXSEL,NOT_AVAILABLE,3
REQCALLINDEX,NONE,0
REQCALLINDEX,1ST_INDEX,1
REQCALLINDEX,2ND_INDEX,2
REQCALLINDEX,3RD_INDEX,3
REQCALLINDEX,4TH_INDEX,4
REQCALLINDEX,5TH_INDEX,5
REQCALLINDEX,6TH_INDEX,6
REQCALLINDEX,7TH_INDEX,7
REQCALLINDEX,8TH_INDEX,8
REQCALLINDEX,9TH_INDEX,9
REQCALLINDEX,10TH_INDEX,10
DT02GPTYPE,S_T_7INCH_GP,0
DT02GPTYPE,S_T_8INCH_GP,1
GSPNIDENTIFIER,SPN,0
GSPNIDENTIFIER,GSPN,1
PDLCALB,CALIBRATION_READY_CMD,0
PDLCALB,MAX_RELEASE_CAL_CMD,1
