VSS,Type,Desc,DataType,Unit,Min,Max,ValueTable,Allowed,Default,Comment,Hashed,Deprecated
Mch.ECU.FanCtl,branch,Receive Frame to control fan speed,,,,,,,,J1939,,
Mch.MCU.VEHICLE2,branch,VEHICLE_2,,,,,,,,J1939,,
Mch.TCU.TCU1,branch,TCU_1,,,,,,,,J1939,,
Mch.MCU.VCUHVCI,branch,VCU High Voltage Control Information,,,,,,,,J1939,,
Mch.ECU.TFI4CMD,branch,TFI4 Command CAN frame,,,,,,,,J1939,,
Mch.HDOQS.OSM,branch,Oil Status Message,,,,,,,,J1939,,
Mch.EGOQS.OSM,branch,Oil Status Message,,,,,,,,J1939,,
Mch.LC510.TFI4Data,branch,TFI4 Data CAN Frame,,,,,,,,J1939,,
Mch.OBC.OBCMI,branch,OBC Monitoring Information,,,,,,,,J1939,,
Mch.LC510.RxTFI4OBD,branch,TFI4 air mass flow sensor On Board Diagnostics receive frame,,,,,,,,J1939,,
Mch.AGW.BMSSG,branch,BMS Signal Group,,,,,,,,J1939,,
Mch.GP.USUHDI,branch,User Specific Used Hour Data Information,,,,,,,,J1939,,
Mch.MCU.WSG1,branch,Warning Symbol Group 1,,,,,,,,J1939,,
Mch.MCU.WSG2,branch,Warning Symbol Group 2,,,,,,,,J1939,,
Mch.MCU.WSG3,branch,Warning Symbol Group 3,,,,,,,,J1939,,
Mch.MCU.SIG1,branch,State Information Group 1,,,,,,,,J1939,,
Mch.TCU.ZFETC9,branch,ZFETC9,,,,,,,,J1939,,
Mch.MCU.GPG,branch,Gauge Data Group,,,,,,,,J1939,,
Mch.MCU.UPD,branch,Unclassified Periodic Data,,,,,,,,J1939,,
Mch.MCU.SIG3,branch,State Information Group 3,,,,,,,,J1939,,
Mch.MCU.GPG2,branch,Gauge Data Group 2,,,,,,,,J1939,,
Mch.MCU.GPG3,branch,Gauge Data Group 3,,,,,,,,J1939,,
Mch.MCU.SIG4,branch,State Information Group 4,,,,,,,,J1939,,
Mch.MCU.GPG4,branch,Gauge Data Group 4,,,,,,,,J1939,,
Mch.MCU.METPSC,branch,Mech. Engine TPS Calibration ,,,,,,,,J1939,,
Mch.EGDL.EDO,branch,Engine Dial Output,,,,,,,,J1939,,
Mch.MCU.JSO,branch,Jog Shuttle Output,,,,,,,,J1939,,
Mch.JS.JSO,branch,Jog Shuttle Output,,,,,,,,J1939,,
Mch.GP.JCM,branch,Jog Control Message,,,,,,,,J1939,,
Mch.FNR.ZFTC1,branch,ZFTC1,,,,,,,,J1939,,
Mch.MCU.KEYPADBI,branch,KeyPad Basic Indicate,,,,,,,,J1939,,
Mch.KPD1.KEYPADS,branch,KeyPad Signal,,,,,,,,J1939,,
Mch.MCU.KEYPADI1,branch,KeyPad Indicate 1,,,,,,,,J1939,,
Mch.MCU.KEYPADMI1,branch,KeyPad Machine Indicate 1,,,,,,,,J1939,,
Mch.MCU.KEYPADMI2,branch,KeyPad Machine Indicate 2,,,,,,,,J1939,,
Mch.MCU.KEYPADI2,branch,KeyPad Indicate 2,,,,,,,,J1939,,
Mch.MCU.KEYPADI3,branch,KeyPad Indicate 3,,,,,,,,J1939,,
Mch.CBSW.HCMD,branch,Horn Command,,,,,,,,J1939,,
Mch.IMU1.ASI,branch,Accelleration Sensor Information,,,,,,,,J1939,,
Mch.IMU2.ASI,branch,Accelleration Sensor Information,,,,,,,,J1939,,
Mch.IMU3.ASI,branch,Accelleration Sensor Information,,,,,,,,J1939,,
Mch.IMU4.ASI,branch,Accelleration Sensor Information,,,,,,,,J1939,,
Mch.IMU5.ASI,branch,Accelleration Sensor Information,,,,,,,,J1939,,
Mch.KPD1.KEYPADS2,branch,KeyPad Signal 2,,,,,,,,J1939,,
Mch.MCU.KEYPADI4,branch,KeyPad Indicate 4,,,,,,,,J1939,,
Mch.MCU.ACUCTR,branch,ACU Control,,,,,,,,J1939,,
Mch.ACU.ACUFB1,branch,ACU Feedback1,,,,,,,,J1939,,
Mch.SMB.ACUFB1,branch,ACU Feedback1,,,,,,,,J1939,,
Mch.ACU.ACUFB2,branch,ACU Feedback2,,,,,,,,J1939,,
Mch.ACU.ACUFB3,branch,ACU Feedback3,,,,,,,,J1939,,
Mch.ACU.ACUFB4,branch,ACU Feedback4,,,,,,,,J1939,,
Mch.KPAC.ACCMD,branch,KeyPad AirCon Command,,,,,,,,J1939,,
Mch.ACU.ACUFB5,branch,ACU Feedback5,,,,,,,,J1939,,
Mch.SMB.ACUFB5,branch,ACU Feedback5,,,,,,,,J1939,,
Mch.ACU.ACUFB6,branch,ACU Feedback6,,,,,,,,J1939,,
Mch.SMB.ACUFB6,branch,ACU Feedback6,,,,,,,,J1939,,
Mch.ACCU.ACRM1,branch,Aircon Response Message 1,,,,,,,,J1939,,
Mch.Audio.DCAI,branch,Doosan CAN Audio Information,,,,,,,,J1939,,
Mch.Audio.AFRTGP,branch,Audio Frequency to GP,,,,,,,,J1939,,
Mch.Audio.APFGP,branch,Audio Preset Frequency to GP,,,,,,,,J1939,,
Mch.MCU.ACUCTR2,branch,ACU Control2,,,,,,,,J1939,,
Mch.TGU.TGUID,branch,TGU Identification,,,,,,,,J1939,,
Mch.TGU.GPSINFO,branch,GPS Information,,,,,,,,J1939,,
Mch.TGU.CINFO,branch,Cellular Information,,,,,,,,J1939,,
Mch.TGU.SAT,branch,Satelite Info,,,,,,,,J1939,,
Mch.TGU.TSEC,branch,Telematics Security,,,,,,,,J1939,,
Mch.TGU.TGUTM,branch,TGU Time,,,,,,,,J1939,,
